Salesforce Account Name,Simplified Platform Tier,Account Type,Is Ela Subscription,Is Pbf,Account Connections Cost,Account DLW Cost,Account Annualized Cost,Annualized Revenue,Account Cost Margin,# of Syncing Connections,Total Donkey Runtime (hrs),Minimum ARR (70% Margin - Compute),Ideal ARR (95% Margin - Compute),Account Connections Cost (Grand Total),Account DLW Cost (Grand Total),Account Annualized Cost (Grand Total),Annualized Revenue (Grand Total),Account Cost Margin (Grand Total),# of Syncing Connections (Grand Total),Total Donkey Runtime (hrs) (Grand Total),Minimum ARR (70% Margin - Compute) (Grand Total),Ideal ARR (95% Margin - Compute) (Grand Total)
polaranalytics.co,Standard,Customer,false,true,504510.6604023843,0.0,504510.6604023843,341748.5999999998,-0.47626255207010226,5062,521292.4905261102,1681702.201341281,10090213.208047686,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Rappi,,Customer,true,false,354889.220294379,0.0,354889.220294379,2159827.4047274305,0.8356863055271928,6595,136266.0965819445,1182964.06764793,7097784.40588758,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Virgo Facilities,,Customer,true,false,11756.510685536356,328208.41663563653,339964.9273211727,300000.0000000001,-0.13321642440390868,97,7793.1112858333345,1133216.4244039091,6799298.546423454,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Numeral,,Customer,true,true,1448.522920720428,263042.2505194526,264490.773440173,1771024.6681649256,0.8506566406473439,4929,42976.15171055558,881635.9114672435,5289815.46880346,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
GERFLOR SAS,Enterprise,Customer,false,false,0.0,262994.30018812383,262994.30018812383,63767.87999999999,-3.124244058107685,16,2843.5218011111115,876647.6672937461,5259886.003762476,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Metronome,BCF,Customer,false,false,24.476727639512568,222582.7265199636,222607.20324760312,210700.68,-0.05650918282562323,11,2522.0939961111117,742024.0108253438,4452144.064952062,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
TVS Motor Company Ltd,Standard,Customer,false,false,0.0,221825.63024951212,221825.63024951212,127489.79999999999,-0.7399480605468998,14,950.3629905555555,739418.7674983738,4436512.604990242,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
DoorDash Inc.,,Customer,true,false,213047.50736098384,81.32464774297398,213128.8320087268,314853.93237392564,0.3230866440136706,791,39926.14059111111,710429.4400290893,4262576.640174536,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
AuditBoard Inc.,,Customer,true,false,188642.10072202902,0.314016937199282,188642.4147389662,251738.7708905275,0.2506421872497332,7023,36051.632149722165,628808.0491298874,3772848.294779324,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
"Autodesk, Inc.",,Customer,true,false,151531.60720565947,36055.75718938129,187587.36439504096,574797.6702915913,0.6736462687820585,1221,50728.83414083336,625291.2146501365,3751747.287900819,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
